order_id,product_id,cost_price,list_price,quantity,discount_percent,discount,sale_price,profit
33,OFF-BI-10001525,10,10,6,5,0.5,9.5,-0.5
34,OFF-AR-10001683,20,20,2,4,0.8,19.2,-0.8000000000000007
35,OFF-PA-10000249,30,30,3,3,0.9,29.1,-0.8999999999999986
36,TEC-PH-10004977,1020,1100,7,5,55.0,1045.0,25.0
37,FUR-FU-10003664,180,190,5,4,7.6,182.4,2.4000000000000057
38,OFF-EN-10002986,90,110,9,2,2.2,107.8,17.799999999999997
39,FUR-BO-10002545,460,530,3,2,10.6,519.4,59.39999999999998
40,FUR-CH-10004218,200,210,3,2,4.2,205.8,5.800000000000011
41,TEC-PH-10000486,350,370,4,5,18.5,351.5,1.5
42,TEC-PH-10004093,140,150,4,3,4.5,145.5,5.5
43,OFF-ST-10003479,70,80,2,5,4.0,76.0,6.0
44,OFF-ST-10003282,90,100,2,4,4.0,96.0,6.0
45,TEC-AC-10000171,40,50,2,2,1.0,49.0,9.0
46,OFF-BI-10003291,20,20,2,5,1.0,19.0,-1.0
47,OFF-ST-10001713,180,210,4,4,8.4,201.6,21.599999999999994
48,TEC-AC-10002167,50,50,3,5,2.5,47.5,-2.5
49,TEC-PH-10003988,20,20,2,4,0.8,19.2,-0.8000000000000007
50,OFF-BI-10004410,30,40,6,4,1.6,38.4,8.399999999999999
51,OFF-LA-10002762,70,80,6,4,3.2,76.8,6.799999999999997
52,FUR-FU-10001706,10,10,2,4,0.4,9.6,-0.40000000000000036
53,FUR-CH-10003061,70,90,1,5,4.5,85.5,15.5
54,OFF-FA-10000304,20,20,7,3,0.6,19.4,-0.6000000000000014
55,TEC-PH-10002447,850,1030,5,4,41.2,988.8,138.79999999999995
56,OFF-ST-10000604,200,210,6,5,10.5,199.5,-0.5
57,OFF-PA-10001569,30,30,5,5,1.5,28.5,-1.5
58,FUR-CH-10003968,290,320,5,2,6.4,313.6,23.600000000000023
59,OFF-PA-10000587,10,10,2,4,0.4,9.6,-0.40000000000000036
60,TEC-AC-10002167,20,30,2,5,1.5,28.5,8.5
61,OFF-BI-10001460,40,50,4,2,1.0,49.0,9.0
62,OFF-AR-10001868,0,0,1,5,0.0,0.0,0.0
63,TEC-AC-10004633,10,10,2,3,0.3,9.7,-0.3000000000000007
64,OFF-BI-10001078,20,30,6,2,0.6,29.4,9.399999999999999
65,OFF-PA-10003892,130,150,3,5,7.5,142.5,12.5
66,FUR-FU-10000397,70,80,4,2,1.6,78.4,8.400000000000006
67,FUR-CH-10001146,180,210,5,5,10.5,199.5,19.5
68,OFF-AR-10002671,940,1110,8,3,33.3,1076.7,136.70000000000005
69,TEC-PH-10002726,160,170,4,3,5.1,164.9,4.900000000000006
70,OFF-PA-10000482,70,80,2,2,1.6,78.4,8.400000000000006
71,OFF-BI-10004654,0,0,1,3,0.0,0.0,0.0
72,OFF-PA-10004675,20,20,3,3,0.6,19.4,-0.6000000000000014
73,FUR-CH-10000513,790,830,8,2,16.6,813.4,23.399999999999977
74,FUR-FU-10003708,90,100,2,3,3.0,97.0,7.0
75,OFF-ST-10004123,60,70,1,2,1.4,68.6,8.599999999999994
76,OFF-BI-10004182,0,0,3,4,0.0,0.0,0.0
77,FUR-FU-10000260,10,10,3,4,0.4,9.6,-0.40000000000000036
78,OFF-ST-10000615,20,30,3,2,0.6,29.4,9.399999999999999
79,FUR-FU-10003194,20,20,5,2,0.4,19.6,-0.3999999999999986
80,OFF-AP-10002118,190,210,1,3,6.3,203.7,13.699999999999989
81,OFF-BI-10002309,20,20,3,2,0.4,19.6,-0.3999999999999986
82,OFF-AR-10002053,10,10,5,5,0.5,9.5,-0.5
83,OFF-ST-10002370,20,20,1,4,0.8,19.2,-0.8000000000000007
84,OFF-EN-10000927,180,200,7,3,6.0,194.0,14.0
85,OFF-ST-10003656,210,230,3,2,4.6,225.4,15.400000000000006
86,FUR-CH-10000863,260,300,2,5,15.0,285.0,25.0
87,TEC-AC-10001998,20,20,1,5,1.0,19.0,-1.0
88,OFF-LA-10000134,10,10,2,5,0.5,9.5,-0.5
89,OFF-ST-10003442,140,160,7,5,8.0,152.0,12.0
90,OFF-AR-10004930,20,20,3,2,0.4,19.6,-0.3999999999999986
91,TEC-PH-10004093,60,70,2,2,1.4,68.6,8.599999999999994
92,OFF-PA-10000304,10,10,1,2,0.2,9.8,-0.1999999999999993
93,OFF-PA-10003177,10,10,2,2,0.2,9.8,-0.1999999999999993
94,FUR-FU-10003799,50,50,3,5,2.5,47.5,-2.5
95,OFF-BI-10002852,20,30,2,3,0.9,29.1,9.100000000000001
96,OFF-BI-10004738,10,10,1,2,0.2,9.8,-0.1999999999999993
97,FUR-FU-10000629,80,100,7,5,5.0,95.0,15.0
98,OFF-BI-10001721,40,50,3,4,2.0,48.0,8.0
99,OFF-AP-10000358,70,80,6,3,2.4,77.6,7.599999999999994
100,OFF-PA-10003256,60,60,7,3,1.8,58.2,-1.7999999999999972
101,TEC-AC-10001767,80,100,3,5,5.0,95.0,15.0
102,OFF-BI-10002609,0,0,3,3,0.0,0.0,0.0
103,OFF-PA-10004040,20,20,4,4,0.8,19.2,-0.8000000000000007
104,TEC-AC-10001552,220,240,6,3,7.2,232.8,12.800000000000011
105,FUR-FU-10004006,90,100,3,5,5.0,95.0,5.0
106,OFF-BI-10002794,30,40,3,5,2.0,38.0,8.0
107,TEC-AC-10003499,60,70,8,5,3.5,66.5,6.5
108,TEC-PH-10002844,30,30,1,3,0.9,29.1,-0.8999999999999986
109,OFF-AR-10000390,0,0,1,3,0.0,0.0,0.0
110,TEC-AC-10000844,290,340,5,2,6.8,333.2,43.19999999999999
111,FUR-FU-10001934,30,40,2,2,0.8,39.2,9.200000000000003
112,OFF-AR-10000380,70,80,2,3,2.4,77.6,7.599999999999994
113,OFF-BI-10003981,30,30,6,3,0.9,29.1,-0.8999999999999986
114,OFF-FA-10000621,40,40,14,2,0.8,39.2,-0.7999999999999972
115,OFF-EN-10002600,0,0,2,4,0.0,0.0,0.0
116,OFF-PA-10004965,20,20,3,4,0.8,19.2,-0.8000000000000007
117,OFF-EN-10002504,120,130,6,5,6.5,123.5,3.5
118,FUR-TA-10001768,720,790,3,4,31.6,758.4,38.39999999999998
119,OFF-BI-10003650,140,160,1,5,8.0,152.0,12.0
120,FUR-FU-10002157,50,50,3,3,1.5,48.5,-1.5
121,OFF-BI-10003910,20,30,4,2,0.6,29.4,9.399999999999999
122,OFF-ST-10000777,190,230,6,2,4.6,225.4,35.400000000000006
123,OFF-EN-10002500,110,120,9,4,4.8,115.2,5.200000000000003
124,TEC-PH-10003875,60,70,7,2,1.4,68.6,8.599999999999994
125,FUR-CH-10004063,550,600,3,3,18.0,582.0,32.0
126,FUR-TA-10004534,540,620,6,4,24.8,595.2,55.200000000000045
127,OFF-BI-10003274,0,0,2,4,0.0,0.0,0.0
128,OFF-ST-10002974,200,240,7,4,9.6,230.4,30.400000000000006
129,FUR-CH-10001146,70,80,2,2,1.6,78.4,8.400000000000006
130,FUR-FU-10003773,220,240,3,4,9.6,230.4,10.400000000000006
131,TEC-PH-10002293,50,60,5,3,1.8,58.2,8.200000000000003
132,OFF-PA-10002377,80,80,2,4,3.2,76.8,-3.200000000000003
133,OFF-FA-10002780,20,20,9,5,1.0,19.0,-1.0
134,OFF-PA-10001804,20,20,3,4,0.8,19.2,-0.8000000000000007
135,OFF-PA-10001736,30,40,1,5,2.0,38.0,8.0
136,OFF-AR-10001149,10,10,4,5,0.5,9.5,-0.5
137,OFF-FA-10002988,0,0,2,5,0.0,0.0,0.0
138,OFF-BI-10004781,70,80,3,2,1.6,78.4,8.400000000000006
139,OFF-SU-10001218,60,70,6,5,3.5,66.5,6.5
140,FUR-FU-10001706,40,40,14,2,0.8,39.2,-0.7999999999999972
141,FUR-FU-10004848,60,80,2,2,1.6,78.4,18.400000000000006
142,OFF-AR-10000940,10,10,3,3,0.3,9.7,-0.3000000000000007
143,OFF-EN-10004030,10,10,3,2,0.2,9.8,-0.1999999999999993
144,OFF-PA-10004327,130,140,3,5,7.0,133.0,3.0
145,OFF-AP-10001058,780,840,3,2,16.8,823.2,43.200000000000045
146,OFF-ST-10003656,600,670,7,3,20.1,649.9,49.89999999999998
147,FUR-FU-10000521,80,90,4,4,3.6,86.4,6.400000000000006
148,TEC-PH-10000215,350,380,11,4,15.2,364.8,14.800000000000011
149,TEC-PH-10001448,140,150,3,5,7.5,142.5,2.5
150,FUR-CH-10000454,1580,1950,8,3,58.5,1891.5,311.5
151,OFF-BI-10002735,150,170,5,4,6.8,163.2,13.199999999999989
152,OFF-AP-10000326,140,160,5,5,8.0,152.0,12.0
153,TEC-PH-10001254,160,200,2,2,4.0,196.0,36.0
154,OFF-PA-10001950,50,60,7,4,2.4,57.6,7.600000000000001
155,OFF-PA-10002254,100,110,4,4,4.4,105.6,5.599999999999994
156,OFF-ST-10001590,60,80,6,4,3.2,76.8,16.799999999999997
157,OFF-AR-10001547,10,10,3,3,0.3,9.7,-0.3000000000000007
158,FUR-CH-10004063,380,460,2,2,9.2,450.8,70.80000000000001
159,OFF-LA-10002475,10,10,2,3,0.3,9.7,-0.3000000000000007
160,TEC-PH-10004536,870,940,7,5,47.0,893.0,23.0
161,OFF-PA-10002751,10,10,1,4,0.4,9.6,-0.40000000000000036
162,TEC-AC-10003657,40,50,2,5,2.5,47.5,7.5
163,OFF-EN-10001990,30,30,5,4,1.2,28.8,-1.1999999999999993
164,OFF-BI-10004002,20,30,2,3,0.9,29.1,9.100000000000001
165,OFF-AR-10004441,10,10,3,5,0.5,9.5,-0.5
166,TEC-MA-10000822,6850,8160,8,4,326.4,7833.6,983.6000000000004
167,OFF-ST-10000991,250,280,3,4,11.2,268.8,18.80000000000001
168,FUR-CH-10004287,1620,1740,9,4,69.6,1670.4,50.40000000000009
169,OFF-AR-10002656,30,30,6,4,1.2,28.8,-1.1999999999999993
170,OFF-AP-10002518,150,180,5,2,3.6,176.4,26.400000000000006
171,TEC-PH-10003931,120,140,3,5,7.0,133.0,13.0
172,OFF-PA-10000659,20,20,3,2,0.4,19.6,-0.3999999999999986
173,OFF-PA-10001144,100,110,2,4,4.4,105.6,5.599999999999994
174,FUR-CH-10003817,290,340,7,2,6.8,333.2,43.19999999999999
175,OFF-AP-10000891,50,50,2,4,2.0,48.0,-2.0
176,OFF-LA-10003148,20,20,4,5,1.0,19.0,-1.0
177,OFF-AP-10002684,90,100,4,2,2.0,98.0,8.0
178,FUR-CH-10004698,370,400,7,5,20.0,380.0,10.0
179,OFF-SU-10002189,20,20,5,3,0.6,19.4,-0.6000000000000014
180,OFF-AR-10001940,0,0,1,5,0.0,0.0,0.0
181,OFF-ST-10003455,20,20,2,5,1.0,19.0,-1.0
182,TEC-AC-10004659,380,410,7,3,12.3,397.7,17.69999999999999
183,TEC-PH-10003273,470,500,4,5,25.0,475.0,5.0
184,TEC-PH-10004896,140,150,5,2,3.0,147.0,7.0
185,TEC-AC-10002345,30,30,2,5,1.5,28.5,-1.5
186,OFF-BI-10001890,10,10,2,2,0.2,9.8,-0.1999999999999993
187,TEC-AC-10002323,160,180,8,3,5.4,174.6,14.599999999999994
188,OFF-ST-10001328,40,40,3,4,1.6,38.4,-1.6000000000000014
189,OFF-PA-10001950,20,20,3,3,0.6,19.4,-0.6000000000000014
190,FUR-BO-10002613,820,900,4,3,27.0,873.0,53.0
191,TEC-PH-10001552,60,70,6,4,2.8,67.2,7.200000000000003
192,OFF-PA-10000061,50,50,8,5,2.5,47.5,-2.5
193,FUR-BO-10002545,520,630,3,2,12.6,617.4,97.39999999999998
194,OFF-AR-10003514,20,20,5,3,0.6,19.4,-0.6000000000000014
195,OFF-EN-10001509,10,10,7,2,0.2,9.8,-0.1999999999999993
196,OFF-AR-10004685,10,10,2,5,0.5,9.5,-0.5
197,OFF-AR-10004027,10,10,3,2,0.2,9.8,-0.1999999999999993
198,OFF-ST-10001414,40,50,3,5,2.5,47.5,7.5
199,OFF-BI-10000343,0,0,2,5,0.0,0.0,0.0
200,OFF-PA-10002749,20,20,3,2,0.4,19.6,-0.3999999999999986
201,OFF-PA-10002666,20,20,3,5,1.0,19.0,-1.0
202,FUR-TA-10004289,200,220,2,3,6.6,213.4,13.400000000000006
203,OFF-AP-10003622,0,0,1,5,0.0,0.0,0.0
204,OFF-AP-10003217,60,70,2,2,1.4,68.6,8.599999999999994
205,FUR-FU-10002960,40,40,7,3,1.2,38.8,-1.2000000000000028
206,TEC-PH-10001918,370,440,4,3,13.2,426.8,56.80000000000001
207,OFF-ST-10000642,70,80,4,4,3.2,76.8,6.799999999999997
208,TEC-PH-10001700,120,130,2,3,3.9,126.1,6.099999999999994
209,OFF-BI-10003274,20,20,4,3,0.6,19.4,-0.6000000000000014
210,OFF-FA-10000134,50,50,9,2,1.0,49.0,-1.0
211,OFF-ST-10001522,80,90,1,5,4.5,85.5,5.5
212,TEC-AC-10001266,20,20,2,4,0.8,19.2,-0.8000000000000007
213,OFF-LA-10004544,20,20,2,4,0.8,19.2,-0.8000000000000007
214,FUR-BO-10004695,390,450,5,5,22.5,427.5,37.5
215,TEC-PH-10002844,50,60,3,3,1.8,58.2,8.200000000000003
216,TEC-MA-10000864,1040,1190,9,4,47.6,1142.4,102.40000000000009
217,TEC-AC-10000109,80,90,2,5,4.5,85.5,5.5
218,OFF-ST-10001328,80,90,6,3,2.7,87.3,7.299999999999997
219,TEC-PH-10002563,250,300,3,4,12.0,288.0,38.0
220,OFF-FA-10000585,10,10,2,2,0.2,9.8,-0.1999999999999993
221,OFF-PA-10004000,20,20,6,4,0.8,19.2,-0.8000000000000007
222,OFF-BI-10002852,20,20,4,3,0.6,19.4,-0.6000000000000014
223,FUR-FU-10000087,60,70,4,3,2.1,67.9,7.900000000000006
224,TEC-MA-10001148,410,480,4,4,19.2,460.8,50.80000000000001
225,OFF-AR-10001958,30,30,2,4,1.2,28.8,-1.1999999999999993
226,OFF-AR-10001026,0,0,1,2,0.0,0.0,0.0
227,FUR-TA-10003748,510,620,5,2,12.4,607.6,97.60000000000002
228,OFF-ST-10002485,20,20,1,3,0.6,19.4,-0.6000000000000014
229,FUR-CH-10004860,130,160,2,2,3.2,156.8,26.80000000000001
230,FUR-CH-10004477,360,390,8,2,7.8,382.2,22.19999999999999
231,OFF-BI-10001679,20,20,7,5,1.0,19.0,-1.0
232,FUR-TA-10001705,210,230,2,4,9.2,220.8,10.800000000000011
233,FUR-TA-10003473,510,620,3,4,24.8,595.2,85.20000000000005
234,OFF-BI-10001679,10,10,2,2,0.2,9.8,-0.1999999999999993
235,FUR-FU-10004017,250,260,3,5,13.0,247.0,-3.0
236,TEC-AC-10003832,500,620,3,4,24.8,595.2,95.20000000000005
237,OFF-PA-10002479,10,10,2,4,0.4,9.6,-0.40000000000000036
238,OFF-PA-10003349,30,30,5,4,1.2,28.8,-1.1999999999999993
239,FUR-FU-10000576,340,420,5,2,8.4,411.6,71.60000000000002
240,FUR-FU-10004351,10,10,3,2,0.2,9.8,-0.1999999999999993
241,TEC-PH-10000011,30,30,2,3,0.9,29.1,-0.8999999999999986
242,FUR-TA-10002607,150,180,5,3,5.4,174.6,24.599999999999994
243,FUR-FU-10002505,0,0,3,4,0.0,0.0,0.0
244,OFF-AR-10004685,10,10,2,3,0.3,9.7,-0.3000000000000007
245,FUR-CH-10004063,1620,2000,7,2,40.0,1960.0,340.0
246,OFF-ST-10002276,150,170,2,4,6.8,163.2,13.199999999999989
247,OFF-PA-10004082,40,50,6,5,2.5,47.5,7.5
248,OFF-AP-10002945,1380,1500,5,5,75.0,1425.0,45.0
249,OFF-PA-10000061,20,30,4,3,0.9,29.1,9.100000000000001
250,FUR-CH-10002965,300,320,2,5,16.0,304.0,4.0
251,OFF-PA-10004569,10,10,1,3,0.3,9.7,-0.3000000000000007
252,TEC-AC-10003832,3050,3350,13,4,134.0,3216.0,166.0
253,OFF-ST-10001228,70,80,6,5,4.0,76.0,6.0
254,OFF-EN-10003296,330,360,4,4,14.4,345.6,15.600000000000023
255,FUR-FU-10002505,10,10,9,2,0.2,9.8,-0.1999999999999993
256,OFF-ST-10004804,70,80,2,2,1.6,78.4,8.400000000000006
257,OFF-ST-10001590,40,50,5,2,1.0,49.0,9.0
258,TEC-PH-10001580,590,650,6,4,26.0,624.0,34.0
259,TEC-AC-10000290,20,20,3,5,1.0,19.0,-1.0
260,OFF-ST-10002790,180,220,3,4,8.8,211.2,31.19999999999999
261,OFF-BI-10003460,20,20,5,5,1.0,19.0,-1.0
262,OFF-AP-10002203,0,0,2,2,0.0,0.0,0.0
263,TEC-MA-10000822,2690,3060,3,3,91.8,2968.2,278.1999999999998
264,TEC-MA-10003353,2170,2520,7,3,75.6,2444.4,274.4000000000001
265,TEC-PH-10001433,300,330,4,3,9.9,320.1,20.100000000000023
266,TEC-AC-10004469,70,80,2,4,3.2,76.8,6.799999999999997
267,OFF-AR-10003602,10,10,3,5,0.5,9.5,-0.5
268,OFF-FA-10003472,10,10,6,2,0.2,9.8,-0.1999999999999993
269,OFF-ST-10004180,30,40,1,3,1.2,38.8,8.799999999999997
270,OFF-EN-10004386,50,60,3,3,1.8,58.2,8.200000000000003
271,OFF-ST-10003208,590,730,4,2,14.6,715.4,125.39999999999998
272,TEC-AC-10003628,200,210,7,5,10.5,199.5,-0.5
273,FUR-FU-10003274,10,10,3,4,0.4,9.6,-0.40000000000000036
274,OFF-BI-10002557,10,10,3,4,0.4,9.6,-0.40000000000000036
275,OFF-PA-10002615,10,10,2,3,0.3,9.7,-0.3000000000000007
276,OFF-AR-10001427,10,10,1,2,0.2,9.8,-0.1999999999999993
277,OFF-PA-10000673,10,10,2,4,0.4,9.6,-0.40000000000000036
278,OFF-PA-10004470,20,20,4,2,0.4,19.6,-0.3999999999999986
279,OFF-ST-10000876,50,60,6,2,1.2,58.8,8.799999999999997
280,OFF-LA-10002043,20,20,3,5,1.0,19.0,-1.0
281,OFF-BI-10004967,0,0,5,3,0.0,0.0,0.0
282,TEC-PH-10001760,1050,1110,7,3,33.3,1076.7,26.700000000000045
283,FUR-TA-10002903,950,1040,5,5,52.0,988.0,38.0
284,OFF-PA-10000474,130,140,5,5,7.0,133.0,3.0
285,TEC-AC-10001956,210,240,5,5,12.0,228.0,18.0
286,OFF-PA-10004100,30,30,6,5,1.5,28.5,-1.5
287,OFF-BI-10000778,230,250,7,3,7.5,242.5,12.5
288,OFF-AP-10002684,150,190,2,2,3.8,186.2,36.19999999999999
289,OFF-SU-10000646,810,960,5,5,48.0,912.0,102.0
290,OFF-FA-10002983,20,20,7,5,1.0,19.0,-1.0
291,OFF-LA-10004689,20,20,8,3,0.6,19.4,-0.6000000000000014
292,TEC-AC-10002001,220,260,2,2,5.2,254.8,34.80000000000001
293,FUR-BO-10004709,80,90,3,4,3.6,86.4,6.400000000000006
294,FUR-FU-10004091,280,300,8,5,15.0,285.0,5.0
295,FUR-CH-10001891,190,230,3,2,4.6,225.4,35.400000000000006
296,FUR-FU-10002918,180,220,3,2,4.4,215.6,35.599999999999994
297,OFF-BI-10004593,70,80,5,5,4.0,76.0,6.0
298,OFF-FA-10004854,30,30,3,3,0.9,29.1,-0.8999999999999986
299,OFF-PA-10002105,20,30,5,2,0.6,29.4,9.399999999999999
300,OFF-ST-10002756,930,1080,8,2,21.6,1058.4,128.4000000000001
301,OFF-PA-10004243,50,60,3,5,3.0,57.0,7.0
302,FUR-FU-10001861,70,80,4,4,3.2,76.8,6.799999999999997
303,OFF-BI-10002706,10,10,1,4,0.4,9.6,-0.40000000000000036
304,FUR-TA-10002533,180,220,3,4,8.8,211.2,31.19999999999999
305,FUR-FU-10002671,20,30,2,2,0.6,29.4,9.399999999999999
306,OFF-AR-10003651,10,10,3,4,0.4,9.6,-0.40000000000000036
307,OFF-BI-10001072,50,50,3,5,2.5,47.5,-2.5
308,OFF-AR-10002135,250,290,6,4,11.6,278.4,28.399999999999977
309,OFF-AR-10002804,0,0,1,3,0.0,0.0,0.0
310,FUR-FU-10001918,20,20,4,5,1.0,19.0,-1.0
311,FUR-CH-10004086,400,470,2,4,18.8,451.2,51.19999999999999
312,FUR-FU-10001756,20,20,1,4,0.8,19.2,-0.8000000000000007
313,OFF-LA-10000634,10,10,3,3,0.3,9.7,-0.3000000000000007
314,FUR-FU-10001588,80,90,3,2,1.8,88.2,8.200000000000003
315,TEC-PH-10002398,160,180,2,5,9.0,171.0,11.0
316,OFF-PA-10001937,20,20,3,5,1.0,19.0,-1.0
317,OFF-AR-10003373,90,100,4,2,2.0,98.0,8.0
318,FUR-CH-10002602,120,140,1,2,2.8,137.2,17.19999999999999
319,TEC-MA-10002927,3670,3990,2,2,79.8,3910.2,240.19999999999982
320,TEC-PH-10004093,230,280,6,3,8.4,271.6,41.60000000000002
321,TEC-AC-10000892,300,360,4,3,10.8,349.2,49.19999999999999
322,OFF-ST-10002974,40,40,1,2,0.8,39.2,-0.7999999999999972
323,OFF-FA-10000624,10,10,2,5,0.5,9.5,-0.5
324,OFF-BI-10004593,220,250,6,5,12.5,237.5,17.5
325,TEC-AC-10001908,80,100,1,3,3.0,97.0,17.0
326,FUR-FU-10001967,20,20,1,4,0.8,19.2,-0.8000000000000007
327,TEC-PH-10003645,270,290,3,3,8.7,281.3,11.300000000000011
328,OFF-ST-10000675,40,50,2,5,2.5,47.5,7.5
329,FUR-CH-10003312,740,790,4,3,23.7,766.3,26.299999999999955
330,OFF-LA-10001074,90,100,10,2,2.0,98.0,8.0
331,OFF-BI-10001524,30,40,6,3,1.2,38.8,8.799999999999997
332,TEC-PH-10004614,70,80,2,3,2.4,77.6,7.599999999999994
333,OFF-BI-10001153,20,20,2,2,0.4,19.6,-0.3999999999999986
334,OFF-BI-10001982,0,0,3,3,0.0,0.0,0.0
335,OFF-BI-10001922,0,0,1,3,0.0,0.0,0.0
336,TEC-CO-10001449,770,960,2,2,19.2,940.8,170.79999999999995
337,OFF-BI-10004140,10,10,4,2,0.2,9.8,-0.1999999999999993
338,OFF-BI-10003314,10,10,2,5,0.5,9.5,-0.5
339,FUR-TA-10004575,570,700,3,4,28.0,672.0,102.0
340,OFF-FA-10000490,0,0,4,2,0.0,0.0,0.0
341,OFF-AR-10000122,20,20,4,2,0.4,19.6,-0.3999999999999986
342,OFF-BI-10003656,450,510,10,4,20.4,489.6,39.60000000000002
343,OFF-FA-10002780,20,30,13,4,1.2,28.8,8.8
344,TEC-PH-10000702,60,70,12,4,2.8,67.2,7.200000000000003
345,OFF-ST-10000107,80,90,4,3,2.7,87.3,7.299999999999997
346,TEC-PH-10002293,50,50,3,2,1.0,49.0,-1.0
347,OFF-AR-10004027,10,10,3,4,0.4,9.6,-0.40000000000000036
348,OFF-PA-10000249,20,20,2,5,1.0,19.0,-1.0
349,OFF-AR-10001374,10,10,2,2,0.2,9.8,-0.1999999999999993
350,TEC-AC-10000290,10,10,1,5,0.5,9.5,-0.5
351,OFF-PA-10001970,20,20,2,5,1.0,19.0,-1.0
352,OFF-BI-10002160,0,0,1,3,0.0,0.0,0.0
353,OFF-PA-10001970,50,50,4,3,1.5,48.5,-1.5
354,OFF-BI-10004995,4140,4360,4,4,174.4,4185.6,45.600000000000364
355,FUR-BO-10002268,350,390,6,5,19.5,370.5,20.5
356,OFF-EN-10001137,10,10,2,5,0.5,9.5,-0.5
357,OFF-AR-10002399,20,20,4,3,0.6,19.4,-0.6000000000000014
358,OFF-PA-10002713,30,30,5,2,0.6,29.4,-0.6000000000000014
359,OFF-PA-10002666,30,40,5,4,1.6,38.4,8.399999999999999
360,OFF-AP-10001124,600,650,8,3,19.5,630.5,30.5
361,OFF-LA-10001158,20,20,2,4,0.8,19.2,-0.8000000000000007
362,OFF-LA-10001158,20,20,2,2,0.4,19.6,-0.3999999999999986
363,FUR-CH-10000785,460,490,3,4,19.6,470.4,10.399999999999977
364,OFF-AR-10003732,10,10,2,2,0.2,9.8,-0.1999999999999993
365,FUR-FU-10000023,40,50,8,4,2.0,48.0,8.0
366,OFF-ST-10001713,200,210,4,5,10.5,199.5,-0.5
367,OFF-BI-10002412,20,20,4,3,0.6,19.4,-0.6000000000000014
368,OFF-SU-10001225,10,10,2,3,0.3,9.7,-0.3000000000000007
369,OFF-ST-10002406,90,100,7,3,3.0,97.0,7.0
370,FUR-BO-10002545,900,1040,4,5,52.0,988.0,88.0
371,OFF-PA-10002036,30,30,5,5,1.5,28.5,-1.5
372,OFF-ST-10002205,40,50,3,3,1.5,48.5,8.5
373,OFF-BI-10001982,10,10,5,3,0.3,9.7,-0.3000000000000007
374,TEC-AC-10003911,870,1020,8,2,20.4,999.6,129.60000000000002
375,OFF-AR-10000658,10,10,1,2,0.2,9.8,-0.1999999999999993
376,TEC-AC-10002076,410,480,10,4,19.2,460.8,50.80000000000001
377,OFF-PA-10003039,80,100,4,3,3.0,97.0,17.0
378,FUR-TA-10004915,1300,1490,7,2,29.8,1460.2,160.20000000000005
379,OFF-AP-10000696,10,10,3,5,0.5,9.5,-0.5
380,OFF-ST-10003327,20,20,3,3,0.6,19.4,-0.6000000000000014
381,OFF-BI-10000309,10,10,4,3,0.3,9.7,-0.3000000000000007
382,OFF-PA-10004734,40,50,7,5,2.5,47.5,7.5
383,OFF-BI-10002225,50,50,3,5,2.5,47.5,-2.5
384,TEC-AC-10004708,40,40,2,2,0.8,39.2,-0.7999999999999972
